variant,seed,generation,evaluations,best_fitness,mean_fitness,std_fitness,worst_fitness,best_body_size
mutation_only,1,89,4500,12.548808848170152,12.57532568801092,0.03834656655905306,12.635270009440731,13
mutation_only,1,90,4550,12.548808848170152,12.564950348658451,0.03187459858577432,12.635270009440731,13
mutation_only,1,91,4600,12.548808848170152,12.564950348658451,0.03187459858577432,12.635270009440731,13
mutation_only,1,92,4650,12.548808848170152,12.561491902207628,0.02857720974780757,12.635270009440731,13
mutation_only,1,93,4700,12.548808848170152,12.558033455756805,0.024359845960713847,12.635270009440731,13
mutation_only,1,94,4750,12.548808848170152,12.556304232531392,0.021744057704797367,12.635270009440731,13
mutation_only,1,95,4800,12.548808848170152,12.554575009305982,0.018607137603156562,12.627361849549569,13
mutation_only,1,96,4850,12.548808848170152,12.553003949278393,0.015442274126711186,12.627361849549569,13
mutation_only,1,97,4900,12.548808848170152,12.553003949278393,0.015442274126711186,12.627361849549569,13
mutation_only,1,98,4950,12.548808848170152,12.549686332381038,0.0026324526326611418,12.557583690279023,13
mutation_only,1,99,5000,12.548808848170152,12.549510835538861,0.002380554989287295,12.557583690279023,13
mutation_only,1,100,5050,12.548808848170152,12.549335338696686,0.002083909539209464,12.557583690279023,13
mutation_only,2,0,50,18.83390796058137,20.69506857062624,0.8407457322376795,22.56767050061961,21
mutation_only,2,1,100,16.860051813123757,19.266760741731083,0.8042022321531292,20.09544511501033,11
mutation_only,2,2,150,15.449615361854384,17.489314807628755,0.9559314857587804,18.87581763205193,9
mutation_only,2,3,200,15.242640687119284,16.187480964365907,0.4192755448501302,16.860051813123757,8
mutation_only,2,4,250,15.172458299147443,15.73960037817871,0.20153797801153853,16.043552415324932,11
mutation_only,2,5,300,15.172458299147443,15.629925885867385,0.1706517429750005,15.855133376499413,11
mutation_only,2,6,350,14.867156809750927,15.499039897016024,0.2085294117368337,15.722668877499196,11
mutation_only,2,7,400,14.615167380558045,15.380657093816321,0.23651472017381486,15.645222154178573,11
mutation_only,2,8,450,14.6,15.153938814306327,0.2605613990624337,15.455133376499415,10
mutation_only,2,9,500,14.6,14.973156826550689,0.2283720684682792,15.286335345030997,10
mutation_only,2,10,550,14.35870331449229,14.803598056335577,0.19329520440095752,15.147288270665545,11
mutation_only,2,11,600,14.214944167960988,14.749872497820943,0.1738434728341591,15.022902093797258,11
mutation_only,2,12,650,14.214944167960988,14.665918838609905,0.1787876221523395,14.907567081708246,11
mutation_only,2,13,700,14.214944167960988,14.583198947879655,0.148452868591236,14.789974874213241,11
mutation_only,2,14,750,14.214944167960988,14.542073054825353,0.14017368207303615,14.700000000000001,11
mutation_only,2,15,800,13.87082869338697,14.5011640521166,0.15840159993554154,14.644994432064365,11
mutation_only,2,16,850,13.87082869338697,14.439391071358758,0.18937542722347148,14.607680962081059,11
mutation_only,2,17,900,13.868438714135813,14.350410406350413,0.20101143913509562,14.6,12
mutation_only,2,18,950,13.868438714135813,14.306695437112984,0.1857537758510763,14.549545416973505,12
mutation_only,2,19,1000,13.868438714135813,14.261262196536459,0.16669013691941387,14.469817807045693,12
mutation_only,2,20,1050,13.755294535724685,14.180395375618524,0.1901965172608431,14.410844001658269,12
mutation_only,2,21,1100,13.755294535724685,14.154011918417389,0.17731222626808363,14.377902338672774,12
mutation_only,2,22,1150,13.755294535724685,14.118596527312214,0.16061973619971878,14.35870331449229,12
mutation_only,2,23,1200,13.755294535724685,14.08077370680383,0.1507345075351445,14.28806130178211,12
mutation_only,2,24,1250,13.755294535724685,14.057315143244347,0.13965299036624068,14.214944167960988,12
mutation_only,2,25,1300,13.549285568453591,14.018641927138866,0.15761638059977148,14.214944167960988,11
mutation_only,2,26,1350,13.505547008526777,13.985504304300733,0.16060077189369779,14.173320053068151,11
mutation_only,2,27,1400,13.505547008526777,13.907413939371313,0.14964334082521064,14.114642819948225,11
mutation_only,2,28,1450,13.505547008526777,13.864727402182604,0.1390590998466895,14.033907960581372,11
mutation_only,2,29,1500,13.505547008526777,13.822587924026623,0.13530717152808233,14.0,11
mutation_only,2,30,1550,13.488409872672513,13.793036484815731,0.13108052370506348,13.95472369909914,12
mutation_only,2,31,1600,13.277032961426901,13.767972811561794,0.14175171989778743,13.93469899493758,13
mutation_only,2,32,1650,13.04899959967968,13.725779198007649,0.17197380150457656,13.909975124224179,12
mutation_only,2,33,1700,13.04899959967968,13.643114686912417,0.1969114521150262,13.87082869338697,12
mutation_only,2,34,1750,13.04899959967968,13.584544874900061,0.1788578472728431,13.768438714135812,12
mutation_only,2,35,1800,12.707106781186548,13.494012752167189,0.20615185230482222,13.714944167960988,13
mutation_only,2,36,1850,12.707106781186548,13.458191697425038,0.19383111268156628,13.662049935181331,13
mutation_only,2,37,1900,12.707106781186548,13.410303979421553,0.1870635844324025,13.62664991614216,13
mutation_only,2,38,1950,12.707106781186548,13.336466163033693,0.20869309991959234,13.549285568453591,13
mutation_only,2,39,2000,12.707106781186548,13.271748654489194,0.21453375819844017,13.505547008526777,13
mutation_only,2,40,2050,12.707106781186548,13.220932716224048,0.20900724539220372,13.467707825203131,13
mutation_only,2,41,2100,12.707106781186548,13.110921895905035,0.2050441603773257,13.368438714135813,13
mutation_only,2,42,2150,12.707106781186548,13.067845763464327,0.20085742906812074,13.322497216032183,13
mutation_only,2,43,2200,12.707106781186548,13.027030255905295,0.18489335294633635,13.292838827718413,13
